TAI-UT1: IERS A/B via Astropy including forecast for about a year
(A3,2X,I5,6(I7,1X),1X,I2)        2                  6  5           1.E-4
     49424 279711  279828  279940  280092  280226  280350 
     49454 280478  280589  280714  280864  280989  281120 
     49484 281236  281347  281482  281593  281690  281783 
     49514 281856  281947  282044  282108  282172  282221 
     49544 282276  282368  282445  282517  282588  282646 
     49574 282725  282803  282869  282954  283031  283115 
     49604 283237  283351  283475  283596  283695  283815 
     49634 283950  284068  284190  284290  284400  284543 
     49664 284667  284789  284906  285009  285138  285268 
     49694 285386  285510  285622  285754  285905  286040 
     49724 286188  286311  286417  286547  286686  286823 
     49754 286961  287081  287197  287336  287462  287607 
     49784 287752  287888  288044  288191  288322  288464 
     49814 288589  288724  288879  289016  289159  289287 
     49844 289409  289551  289692  289820  289934  290030 
     49874 290139  290258  290363  290473  290554  290614 
     49904 290697  290774  290855  290930  290975  291027 
     49934 291098  291166  291253  291324  291396  291497 
     49964 291597  291706  291814  291906  292020  292150 
     49994 292269  292401  292510  292610  292730  292846 
     50024 292975  293100  293203  293326  293467  293601 
     50054 293736  293849  293961  294092  294218  294353 
     50084 294465  294545  294641  294738  294832  294932 
     50114 295006  295089  295193  295292  295413  295521 
     50144 295613  295732  295859  295971  296092  296190 
     50174 296293  296415  296532  296658  296768  296865 
     50204 296983  297110  297231  297360  297456  297542 
     50234 297639  297724  297823  297910  297971  298046 
     50264 298117  298181  298246  298290  298341  298406 
     50294 298471  298554  298606  298643  298696  298753 
     50324 298821  298903  298954  299020  299107  299190 
     50354 299302  299397  299478  299578  299678  299785 
     50384 299900  299986  300082  300188  300284  300390 
     50414 300478  300559  300648  300731  300828  300931 
     50444 301017  301111  301208  301304  301413  301498 
     50474 301571  301651  301719  301808  301903  301982 
     50504 302074  302175  302284  302423  302544  302665 
     50534 302793  302914  303051  303186  303297  303414 
     50564 303522  303623  303745  303853  303951  304054 
     50594 304154  304271  304382  304459  304537  304603 
     50624 304657  304722  304755  304792  304845  304902 
     50654 304992  305077  305140  305211  305277  305345 
     50684 305435  305502  305574  305653  305725  305831 
     50714 305936  306027  306127  306223  306329  306454 
     50744 306550  306644  306748  306854  306981  307086 
     50774 307165  307247  307319  307400  307509  307591 
     50804 307670  307752  307819  307912  307997  308073 
     50834 308159  308245  308351  308475  308580  308678 
     50864 308773  308868  308993  309103  309199  309304 
     50894 309394  309500  309622  309715  309812  309905 
     50924 309992  310112  310213  310302  310391  310467 
     50954 310562  310673  310746  310811  310860  310897 
     50984 310945  310974  310998  311024  311031  311054 
     51014 311082  311089  311112  311132  311155  311201 
     51044 311220  311239  311269  311299  311356  311416 
     51074 311454  311508  311555  311607  311698  311769 
     51104 311836  311908  311969  312052  312147  312221 
     51134 312295  312360  312427  312516  312579  312636 
     51164 312686  312720  312773  312833  312877  312930 
     51194 312968  313002  313067  313126  313191  313251 
     51224 313299  313373  313442  313489  313537  313574 
     51254 313628  313709  313772  313840  313904  313962 
     51284 314048  314129  314193  314265  314315  314362 
     51314 314436  314491  314554  314598  314629  314686 
     51344 314738  314772  314802  314803  314806  314835 
     51374 314851  314876  314888  314890  314923  314947 
     51404 314965  314996  315012  315050  315105  315140 
     51434 315177  315198  315226  315281  315320  315374 
     51464 315435  315476  315538  315627  315691  315765 
     51494 315828  315891  315978  316039  316101  316158 
     51524 316200  316260  316331  316386  316445  316476 
     51554 316501  316554  316601  316657  316710  316739 
     51584 316786  316834  316872  316931  316964  317003 
     51614 317070  317115  317163  317207  317229  317281 
     51644 317334  317383  317452  317498  317539  317611 
     51674 317659  317718  317767  317795  317833  317869 
     51704 317901  317937  317936  317936  317955  317960 
     51734 317987  318004  317997  317995  317995  317999 
     51764 318011  318001  318008  318039  318063  318107 
     51794 318127  318127  318153  318179  318211  318261 
     51824 318277  318315  318378  318427  318501  318560 
     51854 318602  318665  318709  318751  318803  318830 
     51884 318878  318938  318975  319021  319045  319064 
     51914 319101  319132  319165  319198  319199  319217 
     51944 319237  319248  319301  319338  319375  319442 
     51974 319496  319565  319624  319648  319689  319737 
     52004 319777  319845  319874  319905  319951  319984 
     52034 320046  320105  320137  320189  320226  320241 
     52064 320268  320254  320246  320254  320249  320268 
     52094 320276  320263  320265  320260  320244  320249 
     52124 320219  320206  320222  320227  320266  320282 
     52154 320276  320297  320305  320318  320359  320367 
     52184 320390  320433  320460  320527  320576  320606 
     52214 320660  320693  320737  320807  320839  320879 
     52244 320921  320938  320987  321023  321047  321104 
     52274 321151  321202  321254  321261  321275  321303 
     52304 321327  321395  321435  321461  321510  321550 
     52334 321610  321677  321707  321753  321788  321815 
     52364 321884  321917  321946  321990  322007  322046 
     52394 322100  322114  322153  322193  322225  322290 
     52424 322310  322316  322316  322287  322284  322292 
     52454 322288  322304  322309  322304  322328  322307 
     52484 322285  322271  322239  322248  322255  322243 
     52514 322255  322255  322257  322299  322304  322315 
     52544 322331  322328  322364  322395  322410  322447 
     52574 322468  322489  322544  322557  322580  322604 
     52604 322616  322670  322714  322742  322791  322812 
     52634 322838  322889  322908  322947  322984  322999 
     52664 323037  323054  323062  323098  323114  323149 
     52694 323199  323214  323243  323271  323293  323362 
     52724 323392  323420  323466  323490  323532  323586 
     52754 323593  323624  323641  323642  323689  323712 
     52784 323734  323758  323745  323742  323753  323725 
     52814 323718  323690  323651  323640  323600  323579 
     52844 323566  323536  323537  323537  323517  323528 
     52874 323512  323494  323524  323517  323525  323535 
     52904 323524  323552  323575  323586  323620  323626 
     52934 323642  323699  323704  323722  323738  323739 
     52964 323777  323808  323814  323836  323828  323823 
     52994 323856  323867  323891  323906  323910  323961 
     53024 323997  324017  324050  324044  324053  324093 
     53054 324103  324146  324175  324173  324210  324225 
     53084 324243  324298  324325  324369  324435  324459 
     53114 324507  324525  324522  324567  324600  324633 
     53144 324678  324683  324693  324712  324704  324723 
     53174 324715  324691  324697  324677  324659  324639 
     53204 324590  324572  324565  324538  324546  324526 
     53234 324507  324528  324521  324532  324538  324503 
     53264 324516  324530  324526  324560  324567  324582 
     53294 324633  324643  324673  324703  324705  324748 
     53324 324795  324823  324874  324884  324899  324947 
     53354 324965  325010  325034  325030  325059  325083 
     53384 325113  325164  325176  325190  325224  325241 
     53414 325306  325347  325381  325457  325522  325579 
     53444 325642  325650  325679  325730  325744  325798 
     53474 325826  325852  325916  325960  326004  326062 
     53504 326080  326114  326151  326145  326174  326168 
     53534 326149  326161  326150  326151  326144  326096 
     53564 326078  326065  326031  326049  326030  326009 
     53594 326026  326013  326024  326031  325991  325992 
     53624 326007  326011  326067  326075  326081  326114 
     53654 326121  326155  326195  326206  326246  326281 
     53684 326303  326369  326390  326420  326466  326477 
     53714 326512  326539  326547  326587  326611  326626 
     53744 326665  326660  326669  326700  326723  326788 
     53774 326832  326858  326908  326946  326991  327076 
     53804 327104  327139  327185  327215  327301  327360 
     53834 327396  327456  327492  327540  327623  327664 
     53864 327726  327795  327837  327908  327947  327965 
     53894 328001  327996  328006  328038  328039  328074 
     53924 328111  328116  328162  328172  328171  328192 
     53954 328191  328216  328249  328247  328276  328298 
     53984 328310  328379  328408  328441  328496  328531 
     54014 328606  328697  328744  328812  328872  328917 
     54044 329008  329055  329107  329164  329197  329264 
     54074 329333  329375  329444  329487  329527  329604 
     54104 329641  329689  329752  329795  329883  329962 
     54134 330019  330102  330158  330204  330273  330299 
     54164 330345  330401  330433  330514  330581  330627 
     54194 330700  330765  330837  330941  330988  331052 
     54224 331113  331151  331240  331312  331361  331420 
     54254 331444  331472  331521  331525  331556  331574 
     54284 331577  331618  331625  331625  331637  331614 
     54314 331618  331644  331627  331636  331636  331619 
     54344 331656  331672  331697  331738  331755  331803 
     54374 331871  331901  331952  331986  332017  332091 
     54404 332126  332168  332216  332237  332301  332388 
     54434 332441  332516  332546  332567  332628  332662 
     54464 332709  332760  332789  332842  332893  332928 
     54494 333000  333040  333085  333162  333201  333258 
     54524 333306  333322  333383  333433  333470  333540 
     54554 333586  333636  333722  333758  333816  333869 
     54584 333902  333976  334046  334105  334180  334210 
     54614 334240  334296  334319  334362  334381  334381 
     54644 334421  334449  334472  334499  334484  334492 
     54674 334525  334530  334563  334571  334568  334601 
     54704 334616  334642  334685  334694  334741  334810 
     54734 334843  334908  334947  334974  335045  335100 
     54764 335170  335241  335276  335329  335403  335453 
     54794 335541  335603  335653  335731  335778  335841 
     54824 335892  335907  335953  336008  336047  336114 
     54854 336132  336148  336193  336219  336278  336317 
     54884 336326  336372  336427  336476  336557  336597 
     54914 336648  336726  336772  336843  336911  336953 
     54944 337030  337100  337163  337244  337278  337320 
     54974 337388  337431  337497  337535  337554  337599 
